a52dec 0.7.4-11
aalib 1.4rc5-14
acl 2.3.1-1
acpi_call-dkms 1.2.1-5
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adwaita-icon-theme 40.1.1-1
alacritty 0.9.0-1
alsa-card-profiles 1:0.3.38-1
alsa-firmware 1.2.4-2
alsa-lib 1.2.5.1-3
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.5.1-1
ananicy-cpp 1.0.0.rc2-1
ananicy-rules-git 2.2.1.r59.g831f397-1
android-udev 20210501-1
aom 3.1.2-2
appimagelauncher 2.2.0-5
appstream-glib 0.7.18-2
apr 1.7.0-3
apr-util 1.6.1-8
archlinux-appstream-data-pamac 20210929-1
archlinux-keyring 20210902-1
archlinux-xdg-menu 0.7.6.3-2
argon2 20190702-3
arj 3.10.22-13
at-spi2-atk 2.38.0-1
at-spi2-core 2.40.3-1
atk 2.36.0-1
atkmm 2.28.2-2
attr 2.5.1-1
audit 3.0.5-1
autoconf 2.71-1
automake 1.16.4-1
autorandr 1.11-2
avahi 0.8+22+gfd482a7-1
awesome-terminal-fonts 1.1.0-4
b43-fwcutter 019-3
bash 5.1.008-1
bash-completion 2.11-2
bat 0.18.3-1
bbswitch-dkms 0.8-453
bind 9.16.21-1
binutils 2.36.1-3
bison 3.8.1-1
blas 3.10.0-1
blueman 2.2.2-1
bluetooth-autoconnect 1.3-1
bluetooth-support 1-5
bluez 5.61-1
bluez-hid2hci 5.61-1
bluez-libs 5.61-1
bluez-plugins 5.61-1
bluez-tools 0.2.0-5
bluez-utils 5.61-1
bolt 0.9.1-1
boost-libs 1.76.0-1
bridge-utils 1.7.1-1
brightnessctl 0.5.1-2
brotli 1.0.9-4
btrfs-progs 5.14.1-1
btrfsmaintenance 0.5-1
bubblewrap 0.5.0-1
bzip2 1.0.8-4
ca-certificates 20210603-1
ca-certificates-mozilla 3.71-1
ca-certificates-utils 20210603-1
cairo 1.17.4-5
cairomm 1.14.3-2
cantarell-fonts 1:0.303-1
cblas 3.10.0-1
cdparanoia 10.2-8
celt 0.11.3-4
chaotic-keyring 20210617-1
chaotic-mirrorlist 20210716-1
chromaprint 1.5.0-3
cifs-utils 6.14-1
ckbcomp 1.205-1
clang 12.0.1-1
compiler-rt 12.0.1-2
confuse 3.3-3
coreutils 9.0-2
cpio 2.13-2
crda 4.14-4
cryptsetup 2.4.1-1
curl 7.79.1-1
curlftpfs 0.9.2-8
dav1d 0.9.2-1
davfs2 1.6.0-1
db 5.3.28-5
dbus 1.12.20-1
dbus-glib 0.112-2
dbus-python 1.2.18-1
dconf 0.40.0-1
desktop-file-utils 0.26-1
device-mapper 2.03.13-1
dhclient 4.4.2.P1-1
diffutils 3.8-1
ding-libs 0.6.1-3
dkms 2.8.6-2
dmenu 5.0-1
dmidecode 3.3-1
dmraid 1.0.0.rc16.3-13
dnsmasq 2.86-1
dnssec-anchors 20190629-3
dosfstools 4.2-1
double-conversion 3.1.5-2
downgrade 10.1.0-1
dunst 1.6.1-2
e2fsprogs 1.46.4-1
ecryptfs-utils 111-4
efibootmgr 17-2
efivar 37-4
egl-wayland 1:1.1.7-1
eglexternalplatform 1.1-2
elfutils 0.185-1
enchant 2.3.1-1
ethtool 1:5.14-1
exa 0.10.1-3
exfatprogs 1.1.2-1
expac 10-5
expat 2.4.1-1
f2fs-tools 1.14.0-3
faac 1.30-2
faad2 2.10.0-1
fakeroot 1.26-1
fatresize 1.1.0-1
feh 3.7.2-1
ffmpeg 2:4.4-4
ffmpegthumbnailer 2.2.2-2
fftw 3.3.10-1
file 5.40-6
filesystem 2021.05.31-1
find-the-command-git 1.4.2.r2.g0fc7e85-2
findutils 4.8.0-1
firedragon 93.0-1
firewalld 1.0.1-1
fish 3.3.1-1
fish-autopair 1.0.3-1
flac 1.3.3-3
flameshot 0.10.1-1
flashrom 1.2-2
flex 2.6.4-3
fluidsynth 2.2.3-1
fmt 8.0.1-1
fontconfig 2:2.13.94-1
fprintd 1.94.0-1
freeglut 3.2.1-2
freetype2 2.11.0-4
fribidi 1.0.11-1
fscrypt 0.3.0-1
fuse-common 3.10.5-1
fuse2 2.9.9-4
fuse3 3.10.5-1
fwupd 1.6.4-1
fwupd-efi 1.1-1
fzf 0.27.2-1
game-devices-udev 0.15-1
garuda-assistant 2.2.2-1
garuda-bash-config 1.0.1-1
garuda-boot-options 1.0.1-1
garuda-browser-settings 1.2.0-1
garuda-common-settings 2.1.2-1
garuda-fish-config 1.4.2-2
garuda-gamer 1.0.4-1
garuda-hooks 2.2.3-1
garuda-hotfixes 1.0.0-2
garuda-icons r30.bae0e8a-1
garuda-network-assistant 1.1.1-1
garuda-nvidia-config 1.0.2-1
garuda-optimus-manager-config 1.0.2-1
garuda-qtile-settings 3.0.0-1
garuda-settings-manager-git r28.f060956-1
garuda-starship-prompt 1.0.1-1
garuda-system-maintenance 1.1.3-1
garuda-video-linux-config 1.0.2-1
garuda-wallpapers r60.e27ca17-1
garuda-welcome 1.0.11-1
gawk 5.1.0-1
gc 8.0.4-4
gcab 1.4-1
gcc 11.1.0-1
gcc-libs 11.1.0-1
gcr 3.40.0-1
gd 2.3.3-2
gdbm 1.21-1
gdk-pixbuf2 2.42.6-2
geany 1.37.1-1
geoclue 2.5.7-4
geocode-glib 3.26.2-1
geoip 1.6.12-2
geoip-database 20210921-1
gestures 0.2.6-1
gettext 0.21-1
giflib 5.2.1-2
git 2.33.0-1
glew 2.2.0-2
glib-networking 1:2.70.0-1
glib2 2.70.0-1
glibc 2.33-5
glibmm 2.66.1-2
glu 9.0.2-1
gmp 6.2.1-1
gmrun 1.2w-1
gnome-desktop 1:40.4-1
gnome-keyring 1:40.0-1
gnu-netcat 0.7.1-8
gnupg 2.2.29-1
gnustep-base 1.28.0-1
gnutls 3.7.2-2
gobject-introspection 1.70.0-1
gobject-introspection-runtime 1.70.0-1
gparted 1.3.1-1
gpgme 1.16.0-1
gpm 1.20.7.r38.ge82d1a6-4
gpsd 3.23.1-1
gptfdisk 1.0.8-1
graphene 1.10.6-1
graphite 1:1.3.14-1
grep 3.7-1
groff 1.22.4-6
grub 2:2.06-2
grub-btrfs 4.10.1-1
grub-garuda 2.06-1
grub-theme-garuda-dr460nized r2.49d1e5e-1
